anchor,dmc,hex,name
907,833,#CCBA60,lt golden olive
914,3859,#B88778,lt rosewood
914,407,#BB8871,dk desert sand
920,932,#80a3ba,lt antique blue
921,931,#46728c,md antique blue
922,930,#316274,dk antique blue
923,3818,#00692D,ul vy dk emerald greene
923,699,#005922,green
923,909,#0B7C38,vy dk emerald green
924,731,#989239,dk olive green
925,721,#f37c51,md orange spice
926,3866,#F8F2E9,ul vy lt mocha brown
926,712,#fff8e5,cream
928,3761,#9DD5DD,lt sky blue
933,543,#EADED3,ul vy lt beige brown
936,632,#936148,ul vy dk desert sand
939,3755,#83a4c1,baby blue
940,824,#224271,vy dk blue
941,792,#4B497D,dk cornflower blue
942,738,#ddb689,vy lt tan
943,422,#D5B067,lt hazelnut brown
944,869,#745E27,vy dk hazelnut brown
945,834,#d5c77f,vy lt golden olive
956,613,#d4c7a8,vy lt drab brown
968,778,#DDADB6,vy lt antique mauve
969,152,#E09A93,md lt shell pink
970,3687,#c65375,mauve
972,3803,#A83255,dk mauve
975,828,#B9E1E9,ul vy very lt blue
976,3752,#9ab3cd,vy lt antique blue
977,334,#5F8DA9,md baby blue
978,322,#467194,dk dark baby blue
979,312,#2E597C,vy dk baby blue
1001,976,#CB8234,md golden brown
1002,977,#DB9851,lt golden brown
1003,3853,#E58632,dk autumn gold
1003,921,#E26132,copper
1003,922,#EC9163,lt copper
1004,920,#CF501E,md copper
1005,498,#A4132B,dk red
1005,816,#940B24,garnet
1006,304,#b31e32,md red
1007,3772,#AA7959,vy dk desert sand
1007,3858,#93483E,md rosewood
1008,3773,#BB8871,md desert sand
1009,3770,#FFF3E1,vy lt tawny
1009,3773,#BB8871,md desert sand
1010,3856,#F5C3A9,ul vy lt mahogany
1010,951,#FFDDC6,lt tawny
1011,948,#FDDCC5,vy lt peach
1012,3779,#EFBDBA,ul vy lt terra cotta
1012,754,#f6c4b7,lt peach
1012,967,#FFC9B4,vy lt apricot
1013,3778,#DA8E7F,lt terra cotta
1014,335,#D64A5F,rose
1014,355,#A5463C,dk terra cotta
1015,3777,#8E3230,vy dk terra cotta
1016,3727,#C98C97,lt antique mauve
1017,316,#B56F7C,md antique mauve
1018,3726,#A45561,dk antique mauve
1019,315,#903E4E,md dk antique mauve
1019,3802,#7C2A40,vy dk antique mauve
1020,3713,#FFD5D5,vy lt salmon
1021,761,#F2ACAC,lt salmon
1022,760,#E6858F,salmon
1023,3712,#DA6270,md salmon
1024,3328,#CE3F54,dk salmon
1025,347,#BF2642,vy dk salmon
1026,225,#ffd5d5,ul vy lt shell pink
1027,3722,#C16363,md shell pink
1028,3685,#851531,vy dk mauve
1029,915,#90004F,dk plum
1030,155,#948DB3,md dk blue violet
1030,3746,#746896,dk blue violet
1031,3753,#CDDBE8,ul vy lt antique blue
1032,3752,#9AB3CD,vy lt antique blue
1033,932,#80A3BA,lt antique blue
1034,931,#46728C,md antique blue
1035,930,#316274,dk antique blue
1036,3750,#1B3E49,vy dk antique blue
1037,3756,#E7F9F9,ul vy lt baby blue
1038,519,#6FB1C1,sky blue
1039,518,#4d91a4,lt wedgewood
1040,3023,#aeab8a,lt brown gray
1040,647,#959884,md beaver gray
1041,844,#31372d,ul dk beaver gray
1042,504,#B2D4BD,vy lt blue green
1043,369,#D2EBC5,vy lt pistachio green
1044,895,#1B5100,vy dk hunter green
1045,436,#b58c53,tan
1046,435,#A0743E,vy lt brown
1047,402,#F7A170,vy lt mahogany
